source_algorithm,seed,round,client_id,client_visit_index,participation_gap,task_id,task_seed,num_reset_kernels,local_update_norm,dispatch_minus_global_norm,input_change_norm,response_change_norm,secant_gain,response_change_ratio,h_norm,input_direction_cosine,response_direction_cosine,response_norm_ratio,response_prediction_nre,predicted_support,realized_support,support_sign_agreement
FedAvg,1,181,64,16,4,,,,1.3467352390289307,0.0,0.6862390637397766,1.7702339887619019,2.579617049359054,0.641260281354905,2.580259084701538,-0.06717093042156297,-0.47978234369390577,2.2299848983820616,0.880023838452526,-0.0032336877193301916,-0.054249320179224014,1
FedAvg,1,183,96,25,5,,,,0.9369713068008423,0.0,0.7885209918022156,1.3901759386062622,1.7630170319589875,0.6461496837245708,1.761357069015503,-0.0684286709162305,-0.634830560496539,1.5300315360576182,0.9074469544634177,0.01464882493019104,-0.05536743998527527,0
FedAvg,1,185,96,26,2,,,,0.7116759419441223,0.0,0.47244536876678467,1.0236483812332153,2.166702118179418,0.6209020043625757,2.1662991046905518,-0.061387250207894706,-0.47873681910186083,1.2298920284835375,0.8601662543716713,0.00941758044064045,0.008782249875366688,1
FedAvg,1,185,88,22,15,,,,1.4315088987350464,0.0,1.4406485557556152,1.4867087602615356,1.0319718534550781,0.6943415036032439,1.0319249629974365,-0.038988794482649115,-0.21335120798938637,0.9969056634445332,0.7783655043103389,-0.022385232150554657,-0.010898562148213387,1
FedAvg,1,186,18,11,20,,,,1.1240832805633545,0.0,1.629498839378357,1.2884705066680908,0.7907158173606573,0.6845471214462575,0.7897922396659851,-0.04098134503741909,-0.25327360335016996,0.472196611748311,0.820596732407681,0.009975331835448742,-0.032999683171510696,0
FedAvg,1,187,64,17,6,,,,0.9212528467178345,0.0,0.897019624710083,1.455582618713379,1.62268759636357,0.6417946495664536,1.623663306236267,-0.06324489463799748,-0.5710888792021003,0.6292775688234059,0.8915006187935073,-0.011978033930063248,-0.024834269657731056,1
FedAvg,1,189,65,18,19,,,,1.429121732711792,0.0,1.6460657119750977,2.0962142944335938,1.2734693877543284,0.6730324951197747,1.2752896547317505,-0.037455948841686015,-0.6971635421563483,0.8625200353454758,0.920316774370975,0.02224019542336464,-0.02909533679485321,0
FedAvg,1,189,80,20,9,,,,1.8518389463424683,0.0,1.151121973991394,2.373929500579834,2.0622745062770553,0.6853274715942279,2.060542345046997,-0.048973552143230036,-0.6021594383024836,1.9645784268812063,0.9068971668582783,-0.002959678415209055,-0.015428739599883556,1
FedAvg,1,191,98,19,15,,,,0.9771149754524231,0.0,1.4311938285827637,1.0725996494293213,0.7494440152042237,0.5945722984812924,0.7493982911109924,-0.06533344477816287,-0.32307572043677524,0.907573683775935,0.8135412363771225,0.018095359206199646,-0.04894388094544411,0
FedAvg,1,191,65,19,2,,,,1.3052994012832642,0.0,0.594523549079895,1.8023972511291504,3.0316667084349653,0.6591513021606679,3.0274808406829834,-0.042985381777674275,-0.4695610060070697,2.374010274022602,0.8826121499167562,-0.0490228608250618,0.04053329676389694,0
FedAvg,1,192,16,24,13,,,,0.5160322189331055,0.0,1.385107398033142,0.6831197738647461,0.4931890298429462,0.6806037589463573,0.49325746297836304,-0.02472628836115609,-0.3510696205128856,0.150879212135566,0.9230710055336164,-0.01433577761054039,-0.041365694254636765,1
FedAvg,1,194,62,21,20,,,,0.6461151242256165,0.0,1.6374287605285645,0.8201408982276917,0.5008711939091921,0.6480968637125792,0.5013031959533691,-0.06752335083847333,-0.1806106081080515,0.1343921326370754,0.9104335792404581,-0.004259299486875534,-0.001438783947378397,1
FedAvg,1,195,88,23,10,,,,0.8390195965766907,0.0,1.2615050077438354,1.5801920890808105,1.2526245075361888,0.695957831995039,1.2536784410476685,-0.05135019261642051,-0.7905779833799316,1.2148997627861169,0.9441516742591426,-0.00597823690623045,-0.005283117759972811,1
FedAvg,1,196,88,24,1,,,,0.8387067914009094,0.0,0.31016993522644043,1.1028833389282227,3.555739011646967,0.6573678204209602,3.559180736541748,-0.05016566159807486,-0.33562707318232265,2.8390495337876827,0.8607985209111765,0.12014755606651306,-0.5595348477363586,0
FedAvg,1,197,18,12,11,,,,0.7674850821495056,0.0,1.238247036933899,1.2950608730316162,1.0458824728846932,0.684649256436904,1.0443229675292969,-0.05196877151926238,-0.7021743411068917,1.3222657698913867,0.9226167961883012,-0.011442535556852818,-0.009038906544446945,1
FedAvg,1,197,64,18,10,,,,0.9031558036804199,0.0,1.2021808624267578,1.1879935264587402,0.9881986675945191,0.6511663525596413,0.9895690083503723,-0.061289961652711625,-0.34579166647201504,0.609462359922728,0.8300622004005904,0.019143465906381607,-0.020442064851522446,0
FedAvg,1,197,96,27,12,,,,0.5322529673576355,0.0,1.3061959743499756,0.8018621206283569,0.6138911284172248,0.6446205362956099,0.6142944097518921,-0.015254746161452103,-0.4364856241964754,0.28357328394421977,0.8977531369866768,-0.04405675455927849,-0.022356269881129265,1
FedAvg,1,198,65,20,7,,,,1.0036195516586304,0.0,1.0170470476150513,1.554643988609314,1.5285861084336116,0.673321160375855,1.5284312963485718,-0.06246701469584803,-0.5384415131722741,0.5048525083327235,0.8898862494846973,0.01880374178290367,-0.05040138587355614,0
FedAvg,1,198,88,25,2,,,,0.6903083324432373,0.0,0.5637012720108032,1.0254325866699219,1.8191063912455578,0.6706490803643445,1.821844458580017,-0.0016006928013035733,-0.5517564045665067,0.5118671267642085,0.8924016960986487,-0.05787426605820656,-0.059663642197847366,1
FedAvg,1,202,98,20,11,,,,1.0950466394424438,0.0,1.2815953493118286,1.186798095703125,0.9260318370689059,0.5727343307451265,0.9268887042999268,-0.06304000421326761,-0.4740121203335301,1.2368437022738694,0.8580056963883818,-0.02887902222573757,0.021335573866963387,0
FedAvg,1,203,42,18,26,,,,2.25372314453125,0.0,1.8296180963516235,2.3348827362060547,1.2761585277608947,0.7227786762601857,1.2771291732788086,-0.045405663406543485,-0.2459618596348319,0.40531694995703693,0.8311601576206945,-0.02461668848991394,-0.008459236472845078,1
FedAvg,1,206,64,19,9,,,,0.9409031271934509,0.0,1.1320116519927979,1.1783303022384644,1.04091711438048,0.6389873352254708,1.040055513381958,-0.06528350572096647,-0.5075890960502415,1.0510077919517207,0.8669462754793804,9.854236850515008e-05,-0.03639887273311615,0
FedAvg,1,209,98,21,7,,,,0.9048686623573303,0.0,0.9386350512504578,1.2261223793029785,1.306282327373372,0.6130871533404174,1.3070404529571533,-0.05616411905803738,-0.5399296867519331,1.4101231000121757,0.8803286723563514,-0.005829250905662775,-0.021438878029584885,1
