round,transplant_probe_0.2,transplant_probe_0.5,pure_fedavg
363,69.73999786376953,69.73999786376953,69.849998
364,69.16000366210938,69.16000366210938,67.699997
365,67.30000305175781,67.30000305175781,65.779999
366,71.47000122070312,71.47000122070312,68.099998
367,73.45999908447266,73.45999908447266,70.449997
368,75.4800033569336,75.4800033569336,74.029999
369,72.55000305175781,72.55000305175781,71.5
370,69.4000015258789,69.4000015258789,69.089996
371,75.56999969482422,75.56999969482422,74.410004
372,72.05999755859375,72.05999755859375,72.449997
373,67.11000061035156,67.11000061035156,69.489998
374,67.19999694824219,67.19999694824219,69.550003
375,66.38999938964844,66.38999938964844,68.489998
376,73.05000305175781,73.05000305175781,73.199997
377,65.06999969482422,65.06999969482422,67.440002
378,71.36000061035156,71.36000061035156,72.809998
379,72.9800033569336,72.9800033569336,72.669998
380,75.02999877929688,75.02999877929688,75.160004
381,73.26000213623047,73.26000213623047,74.900002
382,74.08000183105469,74.08000183105469,74.43
383,68.72000122070312,68.72000122070312,68.25
384,74.66000366210938,74.66000366210938,73.449997
385,71.79000091552734,71.79000091552734,72.519997
386,74.91000366210938,74.91000366210938,74.419998
387,75.5999984741211,75.5999984741211,74.889999
388,75.70999908447266,75.70999908447266,74.5
389,76.51000213623047,76.51000213623047,75.139999
390,72.11000061035156,72.11000061035156,71.980003
391,71.05000305175781,71.05000305175781,72.410004
392,72.20999908447266,72.20999908447266,65.949997
393,75.0999984741211,75.0999984741211,72.07
394,70.23999786376953,70.23999786376953,68.18
395,71.68000030517578,71.68000030517578,70.32
396,63.15999984741211,63.15999984741211,65.690002
397,73.97000122070312,73.97000122070312,74.43
398,74.41999816894531,74.41999816894531,73.010002
399,70.7300033569336,70.7300033569336,63.509998
400,71.1500015258789,71.1500015258789,69.150002
401,73.19999694824219,73.19999694824219,72.410004
402,67.30999755859375,67.30999755859375,67.720001
403,64.20999908447266,64.20999908447266,56.889999
404,73.18000030517578,73.18000030517578,70.57
405,71.27999877929688,71.27999877929688,70.849998
406,71.9000015258789,71.9000015258789,71.029999
407,72.62000274658203,72.62000274658203,68.599998
408,71.76000213623047,71.76000213623047,73.860001
409,71.62000274658203,71.62000274658203,74.93
410,66.54000091552734,66.54000091552734,67.720001
411,73.27999877929688,73.27999877929688,73.379997
412,63.38999938964844,63.38999938964844,65.970001
413,74.94000244140625,74.94000244140625,73.360001
414,75.08999633789062,75.08999633789062,75.510002
415,74.45999908447266,74.45999908447266,74.669998
416,69.91000366210938,69.91000366210938,70.029999
417,74.13999938964844,74.13999938964844,74.550003
418,70.01000213623047,70.01000213623047,71.900002
419,73.83999633789062,73.83999633789062,73.760002
420,75.51000213623047,75.51000213623047,75.18
421,74.66000366210938,74.66000366210938,73.93
422,73.79000091552734,73.79000091552734,72.75
423,74.47000122070312,74.47000122070312,73.970001
424,73.80999755859375,73.80999755859375,74.389999
425,75.27999877929688,75.27999877929688,75.410004
426,64.31999969482422,64.31999969482422,69.360001
427,71.06999969482422,71.06999969482422,73.43
428,70.37000274658203,70.37000274658203,73.620003
429,66.36000061035156,66.36000061035156,71.68
430,69.33000183105469,69.33000183105469,74.870003
431,73.06999969482422,73.06999969482422,75.269997
432,74.22000122070312,74.22000122070312,74.610001
433,75.45999908447266,75.45999908447266,75.120003
434,75.91000366210938,75.91000366210938,73.980003
435,73.94999694824219,73.94999694824219,74.529999
436,72.4000015258789,72.4000015258789,71.580002
437,75.12000274658203,75.12000274658203,75.559998
438,75.4800033569336,75.4800033569336,75.800003
439,76.44000244140625,76.44000244140625,75.459999
440,70.88999938964844,70.88999938964844,72.639999
441,74.37999725341797,74.37999725341797,73.889999
442,76.08000183105469,76.08000183105469,75.089996
443,73.01000213623047,73.01000213623047,73.5
444,71.66000366210938,71.66000366210938,68.349998
445,73.11000061035156,73.11000061035156,72.830002
446,73.72000122070312,73.72000122070312,74.300003
447,75.36000061035156,75.36000061035156,73.199997
448,75.02999877929688,75.02999877929688,74.769997
449,73.41999816894531,73.41999816894531,70.260002
450,76.05999755859375,76.05999755859375,76.07
451,68.4000015258789,68.4000015258789,74.239998
452,75.45999908447266,75.45999908447266,76.139999
453,75.41000366210938,75.41000366210938,75.669998
454,75.83999633789062,75.83999633789062,68.470001
455,76.20999908447266,76.20999908447266,74.550003
456,75.68000030517578,75.68000030517578,73.599998
457,76.23999786376953,76.23999786376953,75.610001
458,74.5199966430664,74.5199966430664,73.449997
459,75.80999755859375,75.80999755859375,76.190002
460,69.13999938964844,69.13999938964844,72.239998
461,74.08000183105469,74.08000183105469,75.510002
462,75.70999908447266,75.70999908447266,75.639999
463,76.44000244140625,76.44000244140625,76.089996
464,71.55000305175781,71.55000305175781,69.510002
465,72.76000213623047,72.76000213623047,71.190002
466,75.69999694824219,75.69999694824219,75.68
467,74.5199966430664,74.5199966430664,71.889999
468,75.11000061035156,75.11000061035156,65.830002
469,72.2699966430664,72.2699966430664,68.18
470,73.41000366210938,73.41000366210938,72.620003
471,74.0,74.0,70.18
472,75.30000305175781,75.30000305175781,74.639999
473,75.16999816894531,75.16999816894531,74.190002
474,74.55000305175781,74.55000305175781,73.989998
475,69.58000183105469,69.58000183105469,72.300003
476,73.72000122070312,73.72000122070312,75.139999
477,75.69999694824219,75.69999694824219,75.290001
478,74.30000305175781,74.30000305175781,72.669998
479,75.68000030517578,75.68000030517578,75.349998
480,75.94000244140625,75.94000244140625,72.260002
481,74.25,74.25,74.82
482,75.26000213623047,75.26000213623047,70.440002
483,73.9000015258789,73.9000015258789,71.739998
484,75.30000305175781,75.30000305175781,74.440002
485,74.19000244140625,74.19000244140625,74.559998
486,50.040000915527344,50.040000915527344,72.089996
487,69.25,69.25,74.139999
488,73.25,73.25,75.510002
489,74.94999694824219,74.94999694824219,75.75
490,73.91000366210938,73.91000366210938,75.160004
491,68.62000274658203,68.62000274658203,73.18
492,75.30999755859375,75.30999755859375,75.830002
493,75.58000183105469,75.58000183105469,75.980003
494,73.9000015258789,73.9000015258789,71.830002
495,75.79000091552734,75.79000091552734,74.690002
496,71.55000305175781,71.55000305175781,74.269997
497,73.77999877929688,73.77999877929688,65.949997
498,75.63999938964844,75.63999938964844,67.470001
499,68.30000305175781,68.30000305175781,62.220001
500,73.86000061035156,73.86000061035156,73.610001
